Category,emissions-2030,emissions-2040,emissions-2050
Afghanistan,2360972247,2580373446,2951181489
Albania,313484068.1,331204733.7,346739323.1
Algeria,1862884335,2050474818,2596570183
American Samoa,62473648.32,107992388.2,117812378.6
Andorra,136389434.4,182810517.3,186614459.6
Angola,1047079303,1152519082,1459465221
Anguilla,103893607,137693633.1,140558778
Antigua and Barbuda,85402943.23,125825409.3,133704698.1
Argentina,21891240044,27950499748,29847816203
Armenia,424263191.5,577233891.1,651876952.6
Aruba,392549691.7,494873949.9,525863356.5
Australia,1.56E+11,1.70E+11,1.82E+11
Austria,13910943699,20988088730,22945390120
Azerbaijan,1085671100,1439453934,1625592084
Bahamas,197083715.2,236481202.5,251289846.5
Bahrain,870139632.2,950043641.3,976050189.4
Bangladesh,30934939632,35323537691,40200631729
Barbados,207839954.3,244443905.2,259751180.1
Belarus,8780368101,10157751570,10581798327
Belgium,14520497574,22051949764,24108464413
Belize,253706134.2,323929262.4,344213974.5
Benin,214285996.9,235864370.3,297209918.4
Bermuda,501756144.2,750137891.1,805004331.2
Bhutan,1277182177,1458370157,1659726218
Bolivia,15171799052,19371189787,20584229344
Bosnia and Herzegovina,776887883.7,898758916.5,940913660.4
Botswana,448632149.4,493808932.5,625323236.9
Brazil,1.22798E+11,1.56788E+11,1.6743E+11
British Virgin Islands,125705354.2,196544808.9,208852603.6
Brunei Darussalam,178089742.6,279912952,313425232.9
Bulgaria,2048297551,4446736404,5607213592
Burkina Faso,205044913.3,225692719.3,285800625.5
Burundi,154192167.7,164458488.4,207232206.6
Cabo Verde,31081722.48,34211619.07,43109658.74
Cambodia,3266445940,5441213106,6092656567
Cameroon,1753456624,1930027852,2432005392
Canada,1.56212E+11,2.38706E+11,2.59135E+11
Cayman Islands,205990421.5,320995584,341096586.8
Central African Republic,321428995.4,342830167.7,431996261.4
Chad,535714992.4,571383612.9,723558094.7
Chile,7008391269,9070242222,9913305018
China,1.42183E+12,1.92976E+12,1.96583E+12
"China, Hong Kong",2607274052,4002037005,4078841683
"China, Macao",5031905280,7836166065,8061636906
Christmas Island,754803033.5,796037274.8,820646867.5
Cocos (Keeling) Islands,990155528.9,1025996894,1057715717
Colombia,16024054624,20459340531,21740520966
Comoros,11785729.83,12809135.3,16140640.71
Congo,321343127.2,353702040.4,445695780.3
"Congo, Dem. Rep.",2040712513,2176585881,2742690264
Cook Islands,75320143.45,84623236.17,97260637.82
Costa Rica,3466067609,4425437830,4702562323
Cote d'Ivoire,1177418661,1295983475,1633053531
Croatia,2732288754,5661642036,7104008175
Cuba,4669467107,5961925361,6335265944
Curacao,127151180.6,193861515.5,206001280.3
Cyprus,1280313542,2579774319,3237000455
Czech Republic,14849178586,23313443179,25487601834
Denmark,8225108584,12293887511,13506924054
Djibouti,39857900.32,43871548.74,55282022.48
Dominica,110366880.5,140915245.5,149739472
Dominican Republic,1467057329,1873123013,2000273051
Ecuador,3422641565,4369991924,4666632688
"Egypt, Arab Rep.",896217219.4,986465345.9,1249187009
El Salvador,701353959.5,895481189.3,951556944.9
Equatorial Guinea,39678794.65,43674407.32,55033606.9
Eritrea,214285996.9,228553445.1,287997507.6
Estonia,6697143423,10387899556,11356651428
Eswatini,51926867.03,57155847.63,72021411.25
Ethiopia,1928948973,2123192095,2675409383
Falkland Islands (Islas Malvinas),32117346.17,38537677.45,40950937.95
Faroe Islands,193432279.9,197045571.2,201145718.1
Fiji,236488301.3,265697919,303879572.7
Finland,8582014272,12854709851,14123082673
France,1.21229E+11,1.85604E+11,2.02913E+11
French Polynesia,192528718.6,216308712.1,247392976.4
Gabon,197016237.3,216855564.1,273257145.4
"Gambia, The",54337904.9,59809674.47,75365467.22
Georgia,1191878056,1621617009,1831310965
Germany,71514464722,1.08524E+11,1.19232E+11
Ghana,1124381329,1237605340,1559491930
Gibraltar,658718163.8,896172046,942827158.9
Greece,13270810165,20627244177,22550894025
Grenada,82264202.59,98709005.65,104890243.3
Guam,271808716.5,509641376.8,555984212
Guatemala,1391189900,1776256296,1896830895
Guernsey,501435126.2,555518550.6,567077844.5
Guinea,596697429.3,656784229.5,827606081.5
Guinea-Bissau,58928649.16,64862701.83,81732727.56
Guyana,310908684.9,396964863.6,423911357.4
Haiti,319235901.2,407596963.9,435265178.5
Honduras,1314688464,1678580085,1783694127
Hungary,24580887893,38755478744,42369726492
Iceland,1378933708,2048925326,2251092565
India,7.97416E+11,1.05566E+12,1.10683E+12
Indonesia,27985087115,46617279329,52456891927
"Iran, Islamic Rep.",41120552894,46476729825,47514922787
Iraq,8551966136,9665906502,9881822642
Ireland,10951453589,16457195299,18000862788
Isle of Man,468723253.7,490451629.4,500657003.3
Israel,1684172410,2124854826,2322356283
Italy,25892647532,39704741954,43622404521
Jamaica,1716143537,2191153603,2328365412
Japan,1.18747E+11,1.27898E+11,1.36776E+11
Jersey,53529297.41,56010728.99,57176206.68
Jordan,1624308801,1835883907,1876893715
Kazakhstan,5407351254,7357004962,8308351344
Kenya,2206306311,2428479024,3060097850
Kiribati,46060221.48,49833358.8,57275335.73
"Korea, Dem. People's Rep.",1652184681,1798946148,2047325277
"Korea, Rep.",11201850650,12571652339,13510818200
Kuwait,1013294946,1083819908,1108030178
Kyrgyz Republic,1919742948,2611918059,2935139077
Lao PDR,3001502940,4999873696,5598478265
Latvia,6694409550,10460440204,11435957052
Lebanon,1254491007,1417895322,1449568139
Lesotho,81837513.97,90078465.1,113506814.2
Liberia,141964473,151416657.4,190798348.8
Libya,743034637.8,817857440.2,1035674384
Liechtenstein,324880755,438840148.8,447971585.1
Lithuania,9725818297,15056313281,16460430793
Luxembourg,311465221.8,462798883.8,504706082
Madagascar,445470914.4,475130963.5,601670833.7
Malawi,333870976.1,356100552.1,448718116.7
Malaysia,15033880261,25043287972,28041569030
Maldives,148688260.9,226955157,260848016.7
Mali,1201899491,1281923567,1615336806
Malta,362824631.8,961902520.4,1206957862
Marshall Islands,813429255.2,910633954.4,938786317.9
Mauritania,168813982.9,185813372.5,235300360
Mauritius,39113922.92,43052653.6,54250142.35
Mexico,59615829362,91098473749,98895094659
Moldova,1143671066,1323079674,1385136454
Monaco,3022576485,5766274395,6366440101
Mongolia,7825808800,8936020415,10169809971
Montenegro,829504769,925577138.7,964216396.8
Morocco,814710362.1,896750834.2,1135579163
Mozambique,410036255.2,451326472.5,571526580.7
Myanmar,8084752373,13467499963,15079882094
Namibia,668753018.2,736095740,927545582.9
Nauru,1010075983,1046638422,1078995381
Nepal,2282064349,2494132769,2852547746
Netherlands,21226435066,32789359606,35847220661
New Caledonia,386493380.9,434230727,496631092.4
New Zealand,9726657874,10417141705,11195354751
Nicaragua,1928645564,2462473905,2616676011
Niger,288750380.9,307975767.3,389997813
Nigeria,4242319672,4669516778,5913131890
Niue,46637236.37,52210380.57,53824471.07
Norfolk Island,58803524.2,63393255.26,65353065.74
North Macedonia,1234578034,1428247292,1487871081
Northern Mariana Islands,205521032.1,295142977,321980990.9
Norway,10532173446,15637520863,17104303758
Oman,14911831786,16854179439,17145786435
Pakistan,18947747546,21635777621,24744909119
Palau,201223287.8,211306259.4,240481154.2
Panama,1355624126,1730846298,1839233291
Papua New Guinea,3451624627,3877948615,4435222423
Paraguay,6118636224,7812208897,8301415730
Peru,13142837769,16780633853,17831450703
Philippines,1714121989,2855367333,3213050992
Poland,49426560544,77342948671,84555776048
Portugal,1590008935,2362557064,2595670313
Puerto Rico,4621420446,6743353359,7284418671
Qatar,1210911203,1258659090,1277266714
Romania,12205660820,26497788994,33248394798
Russian Federation,5.36913E+11,6.51415E+11,6.63459E+11
Rwanda,89384046.48,98384925.45,123973687.2
Saint Barthelemy,4601085.102,5475698.29,5589637.25
Saint Helena,194929730.8,214659356.2,219126012.8
Saint Kitts and Nevis,106348488.7,135784606.1,144287547.8
Saint Lucia,94167586.67,120232161.5,127761196.5
Saint Pierre and Miquelon,8540294.323,10522112.48,11181015.67
Samoa,79058589.11,88823432.23,101587647.9
San Marino,326693512.6,615428611.2,679483687.7
Sao Tome and Principe,17910567.03,20692417.18,26074271.47
Saudi Arabia,22598662923,25542262377,26112823109
Senegal,651848198.4,717488622.7,904098973.3
Serbia,3829690569,4430457236,4638260226
Seychelles,16406592.07,22165708.3,27930748.28
Sierra Leone,156710028.1,167143991.4,210616177.3
Singapore,626882497,1180965352,1335447800
Sint Maarten,9460590.829,12935262.17,13745278.74
Slovak Republic,6568340284,10074662736,11030218060
Slovenia,4315248870,6400394660,6997280900
Solomon Islands,95557772.93,107360496.3,122788548.3
Somalia,401786244.3,428537709.6,542668571
South Africa,10333019440,11373543573,14331668463
South Sudan,1232459902,1314518730,1656409589
Spain,59595639502,91130816497,99629469049
Sri Lanka,2188656017,2499150612,2858286670
Sudan,618250628.4,680507813,861744939
Suriname,383752371.8,489970899.3,520653272.9
Svalbard,2665011.024,2893103.355,3325151.463
Sweden,64279824561,99319575676,1.08582E+11
Switzerland,9402747407,14398646351,15819359219
Syrian Arab Republic,13110237826,14817918011,15074294097
Tajikistan,798387214.3,1086250628,1226715479
Tanzania,1350436404,1486423922,1873025299
Thailand,36179369859,60267233894,67482664471
Timor-Leste,616110165,703514889.4,800648656.2
Togo,133272497.2,142145958.3,179116449.9
Tokelau,370984830.2,413090731.3,425861483.3
Tonga,46747687.47,55076962.2,63302004.45
Tunisia,272543720.8,299988585.3,379883434.3
Turkey,29882429929,48281355027,53045271072
Turkmenistan,777665283,1058057277,1194876400
Turks and Caicos Islands,37995182.42,59749050.06,63490583.85
Tuvalu,69459708.86,94983971.04,97920412.48
U.S. Virgin Islands,236670529.1,413813295.1,447016363.1
Uganda,1959431172,2156743820,2717687516
Ukraine,13828092659,15997316776,16747643454
United Arab Emirates,3685128206,4165136311,4258176747
United Kingdom,44762042527,69490614482,76347245849
United States,9.43923E+11,1.33386E+12,1.44089E+12
Uruguay,679563113,867658870.9,926556689.1
Uzbekistan,2513451686,3419692130,3861898130
Vanuatu,73558861.17,82644410.86,94520681.05
Venezuela,7484144055,9555674604,10154058668
Vietnam,14324739338,23862008087,26851133257
"Yemen, Rep.",13377985158,15120540899,15382152893
Zambia,927285164.6,1020661800,1286123928
Zimbabwe,1478368984,1576800768,1986908099
